prop_name,category,boro,rated,year,season,round,prop_location,visitor_count,pr_litter,pr_overall_condition
Manhattan Beach Park,Large Park,Brooklyn,Yes,2024,Fall,1,Oriental Blvd. between Ocean Ave. and Mackenzie St.,31,A,N
Kaiser Park,Large Park,Brooklyn,Yes,2024,Fall,1,"Neptune Ave., Bayview Ave.,W. 24 St. to W. 32 St.",NA,A,N
Dyker Beach Park,Large Park,Brooklyn,Yes,2024,Fall,1,"86 St., Belt Pkwy. bet. Bay 8 St., 14 Ave., and 7 Ave.",51,A,N
Captain Tilly Park,Large Park,Queens,Yes,2024,Fall,1,"Highland Ave., 85 Ave. bet. 165 St. and Chapin Pkwy.",95,A,N
Cunningham Park,Large Park,Queens,Yes,2024,Fall,1,"Horace Harding Expwy, Grand Central Pkwy",115,A,N
Little Bay Park,Large Park,Queens,Yes,2024,Fall,1,Cross Island Pkwy. bet. Utopia Pkwy. and Totten Ave.,250,A,N
Admiral Playground,Small Park,Queens,Yes,2024,Fall,1,Little Neck Pkwy. bet. 42 Ave. and 43 Ave.,10,A,A
Kissena Corridor Park,Small Park,Queens,Yes,2024,Fall,1,"Peck & Underhill Aves, Utopia Pkwy, Horace Harding",45,A,A
Forest Park,Large Park,Queens,Yes,2024,Summer,6,"Myrtle Ave, Union Tpke, Park Lane S",7,A,A
Frederick Douglass Playground,Small Park,Manhattan,Yes,2024,Summer,6,Amsterdam Ave bet. W. 100 St. and W 102 St.,15,A,A
Forest Park,Large Park,Queens,Yes,2024,Summer,6,"Myrtle Ave, Union Tpke, Park Lane S",13,A,A
McCaffrey Playground,Small Park,Manhattan,Yes,2024,Summer,6,W. 43 St. bet. 8 Ave. and 9 Ave.,25,A,A
Detective William T. Gunn Playground,Small Park,Queens,Yes,2024,Summer,6,235 Ct. bet. Hillside Ave. and 87 Ave.,7,N,N
Laurelton Parkway,Small Park,Queens,Yes,2024,Summer,6,"121 Ave., N. Conduit Ave. bet. Laurelton Pkwy. Sr. Rd. S and Brookville Blvd.",7,A,A
Crotona Park,Large Park,Bronx,Yes,2024,Summer,6,"Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East",25,A,A
Mill Pond Park,Large Park,Bronx,Yes,2024,Summer,6,Major Deegan Exwy bet. E. 150 St and E. 153 St,28,A,A
Corporal John A. Seravalli Playground,Small Park,Manhattan,Yes,2024,Summer,6,Hudson St. bet. Gansevoort St. and Horatio St.,45,A,A
Frontera Park,Small Park,Queens,Yes,2024,Summer,6,58 Ave. bet. Brown Pl. and 69 St.,16,A,A
Detective Keith L Williams Park,Large Park,Queens,Yes,2024,Summer,6,Liberty Ave. bet. 172 St. and 173 St.,32,A,A
Springfield Park,Large Park,Queens,Yes,2024,Summer,6,"149 Av, Springfield Bl, 145 Rd, 184 St",NA,A,A
Rockaway Beach and Boardwalk,Large Park,Queens,Yes,2024,Summer,6,Lands underwater bet. B. 2 St. and B. 73 St.,300,U/S,U
Rockaway Beach Boardwalk,Large Park,Queens,Yes,2024,Summer,6,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,300,A,A
Coney Island Beach & Boardwalk,Large Park,Brooklyn,Yes,2024,Summer,6,"Corbin Pl. to W. 37 St., Boardwalk",151,A,A
Lyons Square Playground,Small Park,Bronx,Yes,2024,Summer,6,Aldus St to Bruckner Blvd bet. Bryant Av and Longfellow Av,12,A,A
Baisley Pond Park,Large Park,Queens,Yes,2024,Summer,6,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.",25,A,N
Fresh Meadows Playground,Small Park,Queens,Yes,2024,Summer,6,67 Ave. bet. 173 St. and 174 St.,13,A,A
Hallets Cove Playground,Small Park,Queens,Yes,2024,Summer,6,"Vernon Blvd., Main Ave. to Astoria Blvd., 1 St.",4,A,A
Bronx Park,Small Park,Bronx,Yes,2024,Summer,6,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",23,U,A
Woodtree Playground,Small Park,Queens,Yes,2024,Summer,6,20 Ave. bet. 37 St. and 38 St.,15,A,U
Emerald Playground,Small Park,Queens,Yes,2024,Summer,6,"Jewel Ave., 71 Ave. bet. 163 St. and 164 St.",2,A,A
Linden Park,Small Park,Brooklyn,Yes,2024,Summer,6,Vermont St. bet. Linden Blvd. and Stanley Ave.,39,A,A
Willoughby Playground,Small Park,Brooklyn,Yes,2024,Summer,6,"Tompkins Ave., Willoughby Ave., Vernon Ave.",6,A,U
Rudd Playground,Small Park,Brooklyn,Yes,2024,Summer,6,"Aberdeen St., Furman Ave. north of Bushwick Ave.",2,A,A
Brevoort Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ralph Ave. bet. Chauncey St. and Sumpter St.,9,A,A
Randall Playground,Small Park,Bronx,Yes,2024,Summer,6,Randall Ave. bet. Olmstead Ave. and Castle Hill Ave.,1,A,A
Bailey Playground,Small Park,Bronx,Yes,2024,Summer,6,Bailey Av bet. W 234 St and W 237 St,NA,A,A
P.O. Serrano Playground,Small Park,Bronx,Yes,2024,Summer,6,Olmstead Ave. bet. Turnbull Ave. and Lafayetter Ave.,6,A,A
Harris Park,Small Park,Bronx,Yes,2024,Summer,6,Paul Ave. - Goulden Ave. bet. Bedford Par,NA,A,A
Williamsbridge Oval,Large Park,Bronx,Yes,2024,Summer,6,"Van Cortlandt Ave. East, Resevoir Oval E",51,A,N
McCarren Park,Large Park,Brooklyn,Yes,2024,Summer,6,"Nassau Ave, Bayard, Leonard & N 12 Sts",NA,A,N
Van Cortlandt Park,Large Park,Bronx,Yes,2024,Summer,6,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",31,A,N
Richmond Parkway,Large Park,Staten Island,Yes,2024,Summer,6,Staten Island Exwy. To West Shore Exwy.,65,A,N
Richmond Parkway,Large Park,Staten Island,Yes,2024,Summer,6,Staten Island Exwy. To West Shore Exwy.,65,A,N
Morningside Park,Large Park,Manhattan,Yes,2024,Summer,6,"W 110 St To W 123 St, Manhattan Av To Morningside Av",119,N,N
Shore Park and Parkway,Large Park,Brooklyn,Yes,2024,Summer,6,"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",45,A,A
Glenwood Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ralph Ave. and Farragut Rd.,20,A,A
P.S. 155 Playground,Small Park,Manhattan,Yes,2024,Summer,6,"E. 117 St. To E. 118 St., 1 Ave. To 2 Ave.",NA,A,A
Hamilton Metz Field,Small Park,Brooklyn,Yes,2024,Summer,6,"Albany Ave., E. New York Ave., Lefferts Ave.",32,A,A
Van Cortlandt Park,Large Park,Bronx,Yes,2024,Summer,6,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",59,A,A
Highbridge Park,Small Park,Manhattan,Yes,2024,Summer,6,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av",20,A,A
Audubon Playground,Small Park,Manhattan,Yes,2024,Summer,6,"Audubon Ave., W. 169 St. and W. 170 St.",8,A,A
Alexander Hamilton Playground,Small Park,Manhattan,Yes,2024,Summer,6,"Hamilton Pl., W. 140 St. To W. 141 St.",20,A,A
Williamsbridge Oval,Large Park,Bronx,Yes,2024,Summer,6,"Van Cortlandt Ave. East, Resevoir Oval E",50,A,A
Morningside Park,Small Park,Manhattan,Yes,2024,Summer,6,"W 110 St To W 123 St, Manhattan Av To Morningside Av",35,A,A
St. Nicholas Park,Small Park,Manhattan,Yes,2024,Summer,6,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St.",8,A,A
James Forten Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Underhill Ave. bet. Prospect Pl. and Park Pl.,168,A,A
Poppenhusen Playground,Small Park,Queens,Yes,2024,Summer,6,"20 Ave., 21 Ave. bet. 123 St. and 124 St.",15,U/S,U
Bedford Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Bedford Ave. bet. S. 9 St. and Division Ave.,3,N,U
Greenpoint Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Franklin St. bet. Commerical St. and Dupoint St.,17,A,A
Marine Park,Large Park,Brooklyn,Yes,2024,Summer,6,"Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay",70,A,A
Mazzei Playground,Small Park,Bronx,Yes,2024,Summer,6,Mace Ave. bet. Pauldings Ave. and Williamsbridge Rd.,9,A,A
Great Kills Park,Large Park,Staten Island,Yes,2024,Summer,6,"Hylan Blvd., Old Mill Rd., Cedar Grove Ave. bet. Hopkins Ave. and New Dorp La.",17,A,A
Old Town Playground,Small Park,Staten Island,Yes,2024,Summer,6,Parkinson Ave. at Kramer St.,17,A,A
Twenty-Four Sycamores Park,Small Park,Manhattan,Yes,2024,Summer,6,"FDR Dr., E. 60 St. To E. 61 St. and York Ave.",149,A,A
John Jay Park,Small Park,Manhattan,Yes,2024,Summer,6,"FDR Dr., E 76 St. To E 78 St.",217,A,A
Railroad Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ditmas Ave. bet. E. 92 St. and E. 91 St.,4,A,A
Willis Playground,Small Park,Bronx,Yes,2024,Summer,6,E 141 St to E 140 St bet. Willis Av and Alexander Av,18,A,A
Tall Oak Playground,Small Park,Queens,Yes,2024,Summer,6,64 Ave. bet. 218 St. and 219 St.,16,A,U
Telephone Playground,Small Park,Queens,Yes,2024,Summer,6,75 Ave. bet. Bell Blvd. and 217 St.,18,A,A
Flushing Meadows Corona Park,Large Park,Queens,Yes,2024,Summer,6,"Grand Central Pkwy, Van Wyck Exwy",31,A,N
J. Hood Wright Park,Large Park,Manhattan,Yes,2024,Summer,6,W. 173 St. bet. Haven Ave. and Ft. Washington Ave.,NA,A,N
Bensonhurst Park,Large Park,Brooklyn,Yes,2024,Summer,6,Cropsey Ave. bet. 21 Ave. and Bay Pkwy.,180,A,N
Carl Schurz Park,Large Park,Manhattan,Yes,2024,Summer,6,"East End Av To East River, E 84 St To E 90 St",NA,A,A
Carl Schurz Park,Large Park,Manhattan,Yes,2024,Summer,6,"East End Av To East River, E 84 St To E 90 St",NA,A,A
DiGilio Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ave. F bet. McDonald Ave. and E. 2 St.,7,A,A
Battery Park City,Large Park,Manhattan,Yes,2024,Summer,6,"Hudson River, Liberty St. West St, and Pier A",80,N,N
Kelly Park Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ave. S bet. E. 14 St. and E. 15 St.,11,N,N
Yak Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ave. Y between Coyle St. and Batchelder St.,4,A,A
Westbourne Playground,Small Park,Queens,Yes,2024,Summer,6,"Mott Ave., Westbourne Ave. bet. Bay 28 St. and Bay 25 St.",11,A,A
Murray Playground,Small Park,Queens,Yes,2024,Summer,6,"45 Ave., 45 Rd. bet. 11 St. and 21 St.",35,A,A
Riverside Park,Small Park,Manhattan,Yes,2024,Summer,6,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",67,A,A
Commodore Barry Park,Large Park,Brooklyn,Yes,2024,Summer,6,"Nassau St., Park Ave., bet. Navy St. and N. Elliot Pl.",27,A,A
Calvert Vaux Park,Small Park,Brooklyn,Yes,2024,Summer,6,"Gravesend Bay, Bay 44 St. to Bay 49 St., Shore Pkwy.",9,A,A
Colonel David Marcus Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Ave. P bet. E. 4 St. and Ocean Pkwy.,15,A,A
Dimattina Playground,Small Park,Brooklyn,Yes,2024,Summer,6,Hicks St. bet. Woodhull St. and Rapelye St.,3,A,A
Pena Herrera Playground,Small Park,Brooklyn,Yes,2024,Summer,6,3 Ave. bet. 47 St. and 46 St.,20,A,A
Bronx Park,Large Park,Bronx,Yes,2024,Summer,5,"Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St",45,A,A
Fairview Park,Large Park,Staten Island,Yes,2024,Summer,5,"Englewood Ave., W. Shore Expwy., Veterans Rd. W.",25,A,A
Clove Lakes Park,Large Park,Staten Island,Yes,2024,Summer,5,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",95,A,A
Clove Lakes Park,Large Park,Staten Island,Yes,2024,Summer,5,"Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.",95,A,A
Forest Park,Large Park,Queens,Yes,2024,Summer,5,"Myrtle Ave, Union Tpke, Park Lane S",31,A,A
Central Park,Large Park,Manhattan,Yes,2024,Summer,5,"5 Av To Central Park W, 59 St To 110 St",41,A,A
Central Park,Large Park,Manhattan,Yes,2024,Summer,5,"5 Av To Central Park W, 59 St To 110 St",41,A,A
Schmul Park,Small Park,Staten Island,Yes,2024,Summer,5,"Wild Ave., Pearson St., Melvin Ave.",10,A,A
Schmul Park,Small Park,Staten Island,Yes,2024,Summer,5,"Wild Ave., Pearson St., Melvin Ave.",10,N,U
Franklin D. Roosevelt Boardwalk and Beach,Large Park,Staten Island,Yes,2024,Summer,5,"Ft. Wadsworth To Miller Field, Fr Capodanno Blvd.",65,A,A
Central Park,Large Park,Manhattan,Yes,2024,Summer,5,"5 Av To Central Park W, 59 St To 110 St",71,A,A
Anibal Aviles Playground,Small Park,Manhattan,Yes,2024,Summer,5,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",12,A,U
Gertrude Ederle Recreation Center,Small Park,Manhattan,Yes,2024,Summer,5,"W. 59 St., W. 60 St., bet. Amsterdam Ave. and W. End Ave.",22,A,A
Fairview Park,Large Park,Staten Island,Yes,2024,Summer,5,"Englewood Ave., W. Shore Expwy., Veterans Rd. W.",40,A,N
Marcus Garvey Park,Large Park,Manhattan,Yes,2024,Summer,5,"Madison Ave, E. 120 St. to E. 124 St.",23,A,N
Walter Gladwin Park,Small Park,Bronx,Yes,2024,Summer,5,E 175 St to E Tremont Av bet. 3 Av and Arthur Ave,25,A,A
Wards Island Park,Large Park,Manhattan,Yes,2024,Summer,5,East River and Hell Gate,31,A,N
Quarry Ballfields,Small Park,Bronx,Yes,2024,Summer,5,"E. 181 St., Oak Tree Pl. bet. Quarry Rd. and Hughes Ave.",5,N,N
Rainey Park,Small Park,Queens,Yes,2024,Summer,5,Vernon Blvd. bet. 33 Rd. and 34 Ave.,0,N,N
Heckscher Playground,Small Park,Brooklyn,Yes,2024,Summer,5,Linden St. bet. Central Ave. and Wilson Ave.,12,A,A
Lincoln Terrace / Arthur S. Somers Park,Small Park,Brooklyn,Yes,2024,Summer,5,"Eastern Pkwy., E. New York Ave. bet. Rochester Ave. and Portal St.",7,A,A
Underwood Park,Small Park,Brooklyn,Yes,2024,Summer,5,Lafayette Ave. bet. Waverly Ave. and Washington Ave.,39,A,A
Golconda Playground,Small Park,Brooklyn,Yes,2024,Summer,5,Gold St. between Nassau St. and Concord St.,27,A,A
Playground 286,Small Park,Brooklyn,Yes,2024,Summer,5,Ave. Y between Brown St. and Haring St.,NA,N,N
St. Vartan Park,Small Park,Manhattan,Yes,2024,Summer,5,"1 Ave.,2 Ave., bet. E. 35 St. and E. 36 St.",NA,A,A
Central Park,Small Park,Manhattan,Yes,2024,Summer,5,"5 Av To Central Park W, 59 St To 110 St",NA,A,A
Wolfe's Pond Park,Large Park,Staten Island,Yes,2024,Summer,5,"Holton Ave., Chisolm St., Luten Ave., Arbutus Ave. and Raritan Bay",40,A,N
Wolfe's Pond Park,Large Park,Staten Island,Yes,2024,Summer,5,"Holton Ave., Chisolm St., Luten Ave., Arbutus Ave. and Raritan Bay",40,N,N
Cunningham Park,Large Park,Queens,Yes,2024,Summer,5,"Horace Harding Expwy, Grand Central Pkwy",5000,A,N
Cunningham Park,Large Park,Queens,Yes,2024,Summer,5,"Horace Harding Expwy, Grand Central Pkwy",5000,A,N
Cunningham Park,Large Park,Queens,Yes,2024,Summer,5,"Horace Harding Expwy, Grand Central Pkwy",1500,A,N
Friends Field,Large Park,Brooklyn,Yes,2024,Summer,5,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",12,A,N
Corona Golf Playground,Small Park,Queens,Yes,2024,Summer,5,"109 St., 111 St. bet. 46 Ave. and 47 Ave.",10,A,A
Rosemary's Playground,Small Park,Queens,Yes,2024,Summer,5,"Woodbine St., Madison St. bet. Woodward Ave. and Fairview Ave.",15,A,A
North Rochdale Playground,Small Park,Queens,Yes,2024,Summer,5,Baisley Blvd. 168 St. and Bedell St.,5,A,A
Levy Playground,Small Park,Staten Island,Yes,2024,Summer,5,Jewett Ave. and Castleton Ave.,0,N,U
East Springfield Playground,Small Park,Queens,Yes,2024,Summer,5,115 Rd. bet. 218 St. and 219 St.,1,A,A
Seaside Playground,Small Park,Queens,Yes,2024,Summer,5,Rockaway Beach Blvd. bet. Beach 110 St. and Beach 109 St.,38,A,A
Hoover - Manton Playgrounds,Small Park,Queens,Yes,2024,Summer,5,"Manton St. bet. 83 Ave., 134 St. and Main St.",15,A,A
Lanett Playground,Small Park,Queens,Yes,2024,Summer,5,Lanett Ave. bet. Beach 9 St. and Beach 8 St.,43,N,U
Nicholas Naquan Heyward Jr. Park,Small Park,Brooklyn,Yes,2024,Summer,5,Wyckoff St. between Hoyt St. and Bond St.,3,A,A
Francis Lewis Park,Large Park,Queens,Yes,2024,Summer,5,3 Ave. bet. Parsons Blvd and 147 St.,10,N,U
Montbellier Park,Small Park,Queens,Yes,2024,Summer,5,"Springfield Blvd., Sloan St. bet. 139 Ave. and Eastgate Plaza",18,N,U
Maurice A FitzGerald Playground,Small Park,Queens,Yes,2024,Summer,5,106 St. bet. Atlantic Ave. and 94 Ave.,8,A,A
Howard Von Dohlen Playground,Small Park,Queens,Yes,2024,Summer,5,"91 Ave., Archer Ave. bet. 138 Pl. and 138 St.",45,N,N
Bildersee Playground,Small Park,Brooklyn,Yes,2024,Summer,5,Flatlands Ave. between E. 81 St. and E. 82 St.,0,A,A
Alley Pond Park,Small Park,Queens,Yes,2024,Summer,5,"Little Neck Bay to Springfield Blvd, Union Tpke",2,A,A
Albemarle Playground,Small Park,Brooklyn,Yes,2024,Summer,5,"Albemarle Rd., Dahill Rd., Mcdonald Ave.",7,A,A
Jackie Robinson Park,Small Park,Manhattan,Yes,2024,Summer,5,"Bradhurst Av and Edgecombe Av, W 145 St To",0,A,A
Coney Island Beach & Boardwalk,Large Park,Brooklyn,Yes,2024,Summer,5,"Corbin Pl. to W. 37 St., Boardwalk",45,A,U
Carl Schurz Park,Small Park,Manhattan,Yes,2024,Summer,5,"East End Av To East River, E 84 St To E 90 St",12,A,A
Luna Playground,Small Park,Brooklyn,Yes,2024,Summer,5,Surf Ave. between W. 12 St. and W. 8 St.,2,N,N
Seward Park,Small Park,Manhattan,Yes,2024,Summer,5,"Canal St, Essex St, Jefferson St and E Broadway",25,A,A
Coleman Playground,Small Park,Manhattan,Yes,2024,Summer,5,"Cherry St, Pike St, Monroe St",5,N,U
St. James Park,Large Park,Bronx,Yes,2024,Summer,5,"Jerome Ave., E. 193 St., Creston Ave., E",NA,A,A
Rochdale Park,Large Park,Queens,Yes,2024,Summer,5,Guy R. Brewer Blvd. bet. 130 Ave. and 137 Ave.,9,N,N
Roy Wilkins Recreation Center,Small Park,Queens,Yes,2024,Summer,5,"Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.",30,A,A
Devoe Park,Small Park,Bronx,Yes,2024,Summer,5,W. Fordham Rd. bet. Sedgwick Ave. and Un,5,A,A
Slattery Playground,Small Park,Bronx,Yes,2024,Summer,5,E. 183 St. bet. Valentine Ave. and Ryer,11,A,A
Cooper Park,Small Park,Brooklyn,Yes,2024,Summer,5,"Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.",5,N,N
Fort Greene Park,Large Park,Brooklyn,Yes,2024,Summer,5,"Myrtle Ave., De Kalb Ave. bet. Washington Park and St. Edward's St.",55,A,N
McCarren Park,Large Park,Brooklyn,Yes,2024,Summer,5,"Nassau Ave, Bayard, Leonard & N 12 Sts",175,A,N
McCarren Park,Large Park,Brooklyn,Yes,2024,Summer,5,"Nassau Ave, Bayard, Leonard & N 12 Sts",175,A,N
Pelham Bay Park,Large Park,Bronx,Yes,2024,Summer,5,"Bruckner Blvd, Eastchester, Hutchinson",70,A,N
Bronx River Parkway,Small Park,Bronx,Yes,2024,Summer,5,Bronx River bet. Burke Ave. and the New York City-Westchester Line,9,N,N
Saul Weprin Playground,Small Park,Queens,Yes,2024,Summer,5,56 Ave. bet. 201 St. and 202 St.,14,A,A
Flushing Meadows Corona Park,Large Park,Queens,Yes,2024,Summer,5,"Grand Central Pkwy, Van Wyck Exwy",NA,A,N
Forest Park,Large Park,Queens,Yes,2024,Summer,5,"Myrtle Ave, Union Tpke, Park Lane S",NA,A,N
Highland Park,Large Park,Queens,Yes,2024,Summer,5,"Highland Blvd, Jamaica Ave, Jackie Robinson Pkwy",NA,A,N
Riverside Park,Small Park,Manhattan,Yes,2024,Summer,5,"Riverside Dr to Henry Hudson Pkwy, W 153 St",NA,N,U
Riverside Park,Small Park,Manhattan,Yes,2024,Summer,5,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",NA,A,A
Kissena Park,Large Park,Queens,Yes,2024,Summer,5,"Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln",75,N,N
Riverside Park,Small Park,Manhattan,Yes,2024,Summer,5,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",NA,N,U
Flushing Meadows Corona Park,Large Park,Queens,Yes,2024,Summer,5,"Grand Central Pkwy, Van Wyck Exwy",22,A,A
John V. Lindsay East River Park,Large Park,Manhattan,Yes,2024,Summer,5,"Montgomery St. To E. 12 St., FDR Drive",70,A,A
Bowne Park,Small Park,Queens,Yes,2024,Summer,5,"29 Ave., 32 Ave. bet. 155 St. and 159 St.",15,A,A
Flushing Meadows Corona Park,Small Park,Queens,Yes,2024,Summer,5,"Grand Central Pkwy, Van Wyck Exwy",187,A,A
Stockton Playground,Small Park,Brooklyn,Yes,2024,Summer,5,"Park Ave., Martin Luther King Pl., Marcy Ave.",8,A,A
Agnes Haywood Playground,Small Park,Bronx,Yes,2024,Summer,5,Barnes Ave. bet. E. 216 St. and E. 215 St.,12,A,A
Allerton Playground,Small Park,Bronx,Yes,2024,Summer,5,Allerton Ave. bet. Throop Ave. and Bouck Ave.,45,A,A
The Battery,Large Park,Manhattan,Yes,2024,Summer,5,"Battery Pl, State St and Whitehall St",100,A,U
Vinmont Veteran Park,Small Park,Bronx,Yes,2024,Summer,5,W. 254 St. bet. Riverdale Ave. and Mosholu Ave.,12,A,U
Van Cortlandt Park,Large Park,Bronx,Yes,2024,Summer,5,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",59,A,A
Barretto Point Park,Small Park,Bronx,Yes,2024,Summer,5,Viele Ave. bet. Tiffany St. and Barretto St.,7,A,A
Rev J Polite Playground,Small Park,Bronx,Yes,2024,Summer,5,Rev James Polite Av to Interval Av bet. E 167 St and Home St,2,A,A
Triborough Bridge Playground B,Small Park,Queens,Yes,2024,Summer,5,Hoyt Ave. bet. 21 St. and 23 St.,NA,A,A
Marc And Jason's Playground,Small Park,Brooklyn,Yes,2024,Summer,5,"Sterling St., Empire Blvd., New York Ave., Nostrand Ave.",25,A,A
Benson Playground,Small Park,Brooklyn,Yes,2024,Summer,5,Bath Ave. between Bay 22 St. and Bay 23 St.,25,N,U
Van Cortlandt Park,Small Park,Bronx,Yes,2024,Summer,4,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",8,A,A
Van Cortlandt Park,Large Park,Bronx,Yes,2024,Summer,4,"Broadway, Jerome Ave,City Line,Van Cortlandt Pk S",35,A,A
Kissena Corridor Park,Large Park,Queens,Yes,2024,Summer,4,"Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd",25,A,A
Jacob H. Schiff Playground,Small Park,Manhattan,Yes,2024,Summer,4,Amsterdam Ave. bet. W. 136 St. and W. 138 St.,71,U,A
Northern Playground,Small Park,Queens,Yes,2024,Summer,4,Northern Blvd. bet. 93 St. and 94 St.,20,A,A
Rockaway Beach Boardwalk,Large Park,Queens,Yes,2024,Summer,4,Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.,63,A,A
Randall's Island Park,Large Park,Manhattan,Yes,2024,Summer,4,East River and Harlem River,25,A,A
Randall's Island Park,Large Park,Manhattan,Yes,2024,Summer,4,East River and Harlem River,25,A,A
The Battery,Large Park,Manhattan,Yes,2024,Summer,4,"Battery Pl, State St and Whitehall St",NA,A,A
Claremont Park,Large Park,Bronx,Yes,2024,Summer,4,"Clay Ave., Anthony Ave. bet. Mount Eden Pkwy. and E. 170 St",57,A,A
Belmont Playground,Small Park,Bronx,Yes,2024,Summer,4,E 182 St bet. Belmont Av and Croton Av,30,A,A
Columbus Park,Small Park,Manhattan,Yes,2024,Summer,4,"Baxter St, Mulberry St, Bayard St and Park",70,U/S,U
Columbus Park,Small Park,Manhattan,Yes,2024,Summer,4,"Baxter St, Mulberry St, Bayard St and Park",70,A,A
Fort Washington Park,Small Park,Manhattan,Yes,2024,Summer,4,"Riverside Dr., Hudson River, W. 155 St. to Dyckman St.",13,N,U
Union Square Park,Small Park,Manhattan,Yes,2024,Summer,4,"Broadway To 4 Ave., E 14 St. To E 17 St.",NA,A,A
Tecumseh Playground,Small Park,Manhattan,Yes,2024,Summer,4,W. 78 St. and Amsterdam Ave.,94,A,A
Lozada Playground,Small Park,Bronx,Yes,2024,Summer,4,E 135 St bet. Alexander Av and Willis Av,21,A,U
Bloomingdale Playground,Small Park,Manhattan,Yes,2024,Summer,4,"Amsterdam Ave., W. 104 St. and W. 105 St.",NA,A,A
Tiffany Playground,Small Park,Bronx,Yes,2024,Summer,4,Fox St to Tiffany St bet. E 167 St and E 165 St,7,A,A
Baisley Pond Park,Small Park,Queens,Yes,2024,Summer,4,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.",NA,A,A
Alfred E. Smith Playground,Small Park,Manhattan,Yes,2024,Summer,4,"Catherine Slip, Madison St. and South St.",NA,A,A
Sara D. Roosevelt Park,Small Park,Manhattan,Yes,2024,Summer,4,E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.,10,U/S,U
Jack Breininger Park,Small Park,Queens,Yes,2024,Summer,4,240 St. bet. Braddock Ave. and Fairbury Ave.,30,A,A
Macombs Dam Park,Large Park,Bronx,Yes,2024,Summer,4,"River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.",31,A,N
Baisley Pond Park,Large Park,Queens,Yes,2024,Summer,4,"N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.",50,A,N
Horace Harding Playground,Small Park,Queens,Yes,2024,Summer,4,62 Dr. bet. 97 Pl. and 98 St.,55,A,A
Juniper Valley Park,Small Park,Queens,Yes,2024,Summer,4,"Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.",120,A,A
McGuire Fields,Large Park,Brooklyn,Yes,2024,Summer,4,"Ave Y., Bergen Ave. bet. Ave. V and Belt Pkwy.",15,A,A
Canarsie Park,Large Park,Brooklyn,Yes,2024,Summer,4,"Belt Pkwy, Seaview Ave Btw: Paerdegat Basin, E 93 S, E 102 St, Fresh Creek Basin",0,N,N
Roebling Playground,Small Park,Brooklyn,Yes,2024,Summer,4,Lee Ave. between Wilson St. and Taylor St.,14,A,A
Behagen Playground,Small Park,Bronx,Yes,2024,Summer,4,Tinton Av bet. E 166 St and E 165 St,17,N,U
Marble Hill Playground,Small Park,Bronx,Yes,2024,Summer,4,Marble Hill Av bet. W 230 St and W 228 St,11,A,A
Tompkins Square Park,Large Park,Manhattan,Yes,2024,Summer,4,"Ave. A To Ave. B, E. 7 St. To E. 10 St.",302,N,N
